,Question
328,"
<p>What kind of variable is <em>label</em>?</p>
<p>public class Labeller extends JFrame {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public Labeller () {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; JLabel label = new JLabel(""Field or Variable"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public static void main (String[] args) {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; new Labeller();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
329,"
<p>A method called myMethod has been defined in a class with the following signature. Which of these four choices cannot be an overloaded alternative for myMethod?</p>
<p>public void myMethod (int i, double d)</p>
"
330,"<p>In quicksort, what does partitioning refer to?</p>"
331,"
<p>Many languages allow negative indexing for arrays: items[-1] for the last item, items[-2] for the second to last, and so on. Java doesn't support this indexing directly, but we can create a class that wraps around an array and converts a negative index into the appropriate positive one:</p>
<pre lang=""text/x-java"">class WrappedStringArray {
  private String[] items;

  ...

  public String get(int i) {
    if (i &gt;= 0) {
      return items[i];
    } else {
      return TODO;
    }
  }
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">What expression must we replace TODO with to support negative indexing?</span></p>
"
332,<p>What happens if you forget to define the <code>equals</code> method for your key class used to insert elements into a hashtable?</p>
333,"<p>You've got two classes, Key and Value, both of which descend from Object. You intend to use these classes to populate a hashtable. Which class needs the hashCode method and which needs the equals method?</p>"
334,"
<p>If you are about to evaluate the following code, which following comments would you choose?</p>
<p>FileReader inputStream = null;</p>
<p>try {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; inputStream = new FileReader(""in.txt"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; int c;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; while ((c = inputStream.read()) != -1)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // ... code has been deleted</p>
<p>}catch (IOException e){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.println(e.getLocalizedMessage());</p>
<p>}</p>
"
335,<p>Double hashing</p>
337,<p>The time complexity of selection sort is:</p>
338,"<p>Martina has created an array, arr[50], and she has written the following line of code:<br>*(arr + 20) = 6;<br>Rewrite this line to use the [ ] notation for arrays.</p>"
339,<p>Which statement or statements store 0.8 into the variable <code>d</code> of type <code>double</code>?</p>
340,<p>Suppose you have a Java array of ints. The worst-case time complexity of printing out the elements in the list is:</p>
341,<p>Suppose you have a binary search tree with no left children. Duplicate keys are not allowed. Which of the following explains how this tree may have ended up this way?</p>
342,"<p>Mohamed has a brute force solution for vertex covering that takes one milisecond to test a possible vertex covering. The large graph has 64 nodes, so there are 264<br>possibilities (approx 1.85 * 10<sup>19</sup> ). (There are 1000 ms in a second.) How long will Mohamed&rsquo;s code take to run?</p>"
343,"
<p>After the Java assignment statement</p>
<p>&nbsp; &nbsp;<code>String word = ""blank"";</code></p>
<p>which of the following Java code fragments prints</p>
<p>&nbsp; &nbsp;<code>blink</code></p>
<p>?</p>
<p></p>
"
344,"
<p>Consider the following possible Java class names:</p>
<p>&nbsp; &nbsp;<code>General, colonel, Private, Major-General, Strategy&amp;Tactics</code></p>
<p>When determining which names are valid, which of the following factors is important:</p>
"
345,"
<p>In Java, what value will the variable <code>d</code> have after this declaration:</p>
<code>double d = 18 / 4;</code>
"
346,"
<p>This code fails to compile:</p>
<pre lang=""text/x-java"">char current = 'a';
current = current + 1;
</pre>
<p>&nbsp;</p>
<p>Why?</p>
"
347,<p>Which problem is not P (assuming P!=NP)?</p>
348,"
<p>What will this code output on a 64-bit machine?</p>
<p><br><code>int vals[10];</code></p>
<code>printf(""%d\n"", sizeof(vals + 0));</code>
"
349,<p>Which algorithm is most arguably a greedy algorithm? (Circle the best answer.)</p>
352,"
<p>Anastasiya has written code that loops over an int array named <code>a</code> which is of length N. Fill in the missing parts of the for loop&rsquo;s declaration.</p>
<p><br><code>int sum = 0;</code></p>
<pre lang=""text/x-c"">int *p;
for(p = a;  ; ) // complete this line
{
    sum += *p;
}
</pre>
"
353,"<p>You've got an algorithm that is O(log&nbsp;N). On the first run, you feed it a collection of size M. On the second run, you feed it a collection of size M / 2. Assuming each run has worst-case performance, how many fewer operations does the second run take?</p>"
354,"
<p>In Java, what value will the variable <code>i</code> have after this declaration:</p>
<code>int i = 2 + 8 % 4;</code>
"
355,"
<p>Assume M and N are positive integers. What does the following code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int j=0; j&lt;M; j++) {
  for (int i=0; i&lt;N; i++) {
    if (N%2==0) {
      sum += 1;
    }
  }
}
System.out.println(sum);
</pre>
"
356,<p>Which definition is not right?</p>
357,"<p>Which of the following choices would best be modeled by a class, followed by a subclass of that class?</p>"
358,"
<p>In Java, the actual type of a parameter or variable&rsquo;s value can be any concrete class that is</p>
"
359,"
<p>Given the code:</p>
<pre lang=""text/x-java"">if (x &gt;= 0)
   System.out.println(""1"");
else if (x &lt; 20)
   System.out.println(""2"");
else
   System.out.println(""3"");
System.out.println(""4"");
</pre>
<p>&nbsp;</p>
<p>for what integer values of <code>x</code> will <code>2</code> be among the values printed?&nbsp;</p>
"
360,"
<p>What will the display look like after these lines of code, with [ ] representing a space?</p>
<p>float fData = 3.6239;</p>
<p>printf(""%3.1f \n"", fData);</p>
"
361,"
<p>What will be output by this loop?</p>
<p>for(n = 1, m = 5; n &lt;= 5; n++, m--)</p>
<p>printf(""%d %d\n"", n, m);</p>
"
362,"<p>What would be the performance of a method called addAfter(p), in which p is a position of a node or an index of an array, if the data structure is implemented by an array or linked list structure respectively?</p>"
363,"
<pre lang=""text/x-java"">public class RecursiveMath
   ...
   public int fib (int a) {
      if (a == 1)
         return 1;
      else
         return fib(a-1) + fib(a-2);
   }
...
}
</pre>
<p>&nbsp;</p>
<p>Given the above definition, what is the result of executing the following?</p>
<pre lang=""text/x-java"">RecursiveMath bill = new RecursiveMath();
int x = bill.fib(-1);
</pre>
"
364,"<p>You don't know exactly how much data you need to store, but there's not much of it. You'd like to not allocate any memory that won't be used. You do not need to be able to search the collection quickly. What is the simplest data structure that best suits for your needs?</p>"
365,"
<p>Which of the choices will produce the same result as the following statement?</p>
<p>if ( mark == 'A' &amp;&amp; GPA &gt; 3.5)</p>
<p>&nbsp;&nbsp;&nbsp; System.out.println(""First Class"");</p>
<p>else</p>
<p>&nbsp;&nbsp;&nbsp; System.out.println(""Not First Class"");</p>
"
366,<p>Which one of the following assignments will be resulted in 1.0?</p>
367,"
<p>If class test is going to listen to an event, which statement, if added to the following code, cannot be a solution for event handling?</p>
<p>public class test implements ActionListener{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; JButton okButton;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; public static void main(String [] args){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; SimpleGui_V2 firstGui = new SimpleGui_V2();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; firstGui.draw();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; public void draw(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; JFrame rootFrame = new JFrame();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; okButton = new JButton(""OK"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // missing code</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; rootFrame.add(okButton);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; public void actionPerformed (ActionEvent event){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if (okButton.getText().compareToIgnoreCase(""ok"")== 0)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; okButton.setText(""clicked"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; else</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; okButton.setText(""OK"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
368,"
<p>A compiler error existed in this code. Why is that happening?</p>
<p>public class test {</p>
<p>&nbsp;&nbsp;&nbsp; final int testCount1;</p>
<p>&nbsp;&nbsp;&nbsp; final static int testCount2;</p>
<p>&nbsp;&nbsp;&nbsp; static int testCount3;</p>
<p>&nbsp;&nbsp;&nbsp; int testCount4;</p>
<p>}</p>
"
369,"
<p>A compiler error existed in this code. Why is that happening?</p>
<p>public class test {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; final int testCount;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; int classCount;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public int getCount(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; return testCount+classCount;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
370,"
<p>consider the section of code below:</p>
<p>int a = 3, b = 4, c = 5;</p>
<p>x = a * b &lt;= c</p>
<p>What will x be after executing this code?</p>
"
371,"
<p>What would be the output?</p>
<p>Vector&lt;Object&gt; vect_1 = new Vector&lt;Object&gt;();</p>
<p>Vector&lt;Integer&gt; vect_2 = new Vector&lt;Integer&gt;();</p>
<p>vect_1.addElement(1);</p>
<p>vect_1.addElement(2);</p>
<p>vect_2.addElement(3);</p>
<p>vect_2.addElement(4);</p>
<p>vect_1.addElement(vect_2);</p>
<p>System.out.print(vect_1.toString());</p>
<p>System.out.print(vect_1);</p>
"
372,"
<p>How many times will the printf statement be executed in this piece of code?</p>
<p>In each case assume the definition</p>
<p>int i = 0;</p>
<p>WARNING There are some very nasty traps in some of the code here. LOOK AT IT ALL VERY CAREFULLY!</p>
<p>while (i &lt; 20)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; if ( i = 2 )</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; printf(""Count me!"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; i++;</p>
<p>}</p>
"
373,"
<p>How many times will the printf statement be executed in this piece of code?</p>
<p>In each case assume the definition</p>
<p>int i = 0;</p>
<p>WARNING There are some very nasty traps in some of the code here. LOOK AT IT ALL VERY CAREFULLY!</p>
<p>for(i = 0; i &lt;= 3; i++)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; switch ( i )</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; case 0: puts(""Case 0"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; break;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; case 1: puts(""Case 1"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; case 2: puts(""Case 2"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; default: printf(""Count me!"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
374,"<p>This sorting algorithm starts by finding the smallest value in the entire array. Then it finds the second smallest value, which is the smallest value among the remaining elements. Then it finds the third smallest value, the fourth, and so on.</p>"
375,<p>You see the expression <code>n = 128</code> in some code that successfully compiles. What type can <code>n</code> not be?</p>
376,<p>Which one of the codes bellow will NOT compute the summation of 10 consecutive even numbers starting from zero?</p>
377,"
<p>What will be printed by this code?</p>
<p>public static void main(String [] args){</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; int [] number = {1, 2, 3};</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; changeNumber (number);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; for (int i=0; i&lt;number.length; i++)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(number[i] + "" "");</p>
<p>}</p>
<p>public static void changeNumber(int [] number){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; for (int i=0; i&lt;number.length; i++)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; number[i] *=2 ;</p>
<p>}</p>
"
378,"
<p>The following method <code>isSorted</code> should return<code> true</code> if the array <code>x</code> is sorted in ascending order. Otherwise, the method should return <code>false</code>:</p>
<p><code>public boolean isSorted (int[] x)</code><code>{</code></p>
<pre lang=""text/x-java"">   //missing code goes here
}

<span style=""font-family: arial, helvetica, sans-serif;"">Which of the following is the missing code from the method isSorted?
</span></pre>
"
379,"
<p>For the purposes of this question, two code fragments are considered to be&nbsp;equivalent if, when they are run using the same input, they always produce the same output. Which line could be removed from the following code fragment so that the resulting code fragment is equivalent to the original one?</p>
<pre lang=""text/x-java"">1.  Scanner kbd = new Scanner(System.in);
2.  int x, product;
3.  x = -1;
4.  product = 1;
5.  x = kbd.nextInt();
6.  while (x &gt;= 0) {
7.    if (x &gt; 0) {
8.       product *= x;
9.    }
10.   x = kbd.nextInt();
11. }
12. System.out.println(product);
</pre>
"
380,"
<p>What will be outputted?</p>
<p>char initial = 'a';</p>
<p>switch (initial){</p>
<p>case 'a':</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""a"");</p>
<p>case 'A':</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""A"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; break;</p>
<p>case 'b':</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""B"");</p>
<p>default:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(""C"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; break;</p>
<p>}</p>
"
